"Index" "Consumption" "Production"
"2020-02-29" 5313355 4085973.6
"2020-03-01" 4979920.3 3936088.9
"2020-03-02" 5131902.9 4067998.5
"2020-03-03" 5150250.8 4215420.3
"2020-03-04" 5204845.1 4628811.2
"2020-03-05" 5069366.9 4300455
"2020-03-06" 5110708.3 4189024.5
"2020-03-07" 4926224.6 4062688.5
"2020-03-08" 4727555.3 4175266.3
"2020-03-09" 4967901.8 4229599.8
"2020-03-10" 4854889.4 3984455.3
"2020-03-11" 4914775 3833297.4
"2020-03-12" 4823759 3733326.1
"2020-03-13" 5119561.2 4261343.4
"2020-03-14" 5056577 4148280.6
"2020-03-15" 4807707.7 4222489.9
"2020-03-16" 4862231.2 4275346.8
"2020-03-17" 4999752.8 4297620.9
"2020-03-18" 4731029.7 3988993.1
"2020-03-19" 4737712.8 3971133.2
"2020-03-20" 4972976.1 4079539.3
"2020-03-21" 4900680.5 3953388.9
"2020-03-22" 4776056.9 4039144.6
"2020-03-23" 5014629.1 4293509.9
"2020-03-24" 4860649.5 4232379.5
"2020-03-25" 4772901.3 4173632.1
"2020-03-26" 4708856 3973232.4
"2020-03-27" 4695545.6 3987692.1
"2020-03-28" 4474476.9 3760634.7
"2020-03-29" 4356017 3429705.2
"2020-03-30" 4919368.3 3828390.1
"2020-03-31" 4994100.2 4108695.1
"2020-04-01" 4798027.6 3657608.4
"2020-04-02" 4790226.9 3776563
"2020-04-03" 4852798.5 3899603.4
"2020-04-04" 4591956.5 3774125.2
"2020-04-05" 4477054.9 3596165.1
"2020-04-06" 4628198.1 3770165.2
"2020-04-07" 4492707.8 3771400.7
"2020-04-08" 4443849.9 3879662.9
"2020-04-09" 4455834.5 3720055.3
"2020-04-10" 4322461 3574592.8
"2020-04-11" 4296794.6 3472530.6
"2020-04-12" 4274576.2 3599045.1
"2020-04-13" 4202954.7 3380241.9
"2020-04-14" 4599077.7 3819284.6
"2020-04-15" 4534161 3822566.2
"2020-04-16" 4495166.6 3792254.1
"2020-04-17" 4365914.2 4036009.3
"2020-04-18" 4345534.2 3929739.2
"2020-04-19" 4156033.7 3315155.5
"2020-04-20" 2480082.5 2049356
"2020-04-21" 2651482.8 2185184.8
"2020-04-22" 4165920.5 3399707.7
"2020-04-23" 4122444.8 3382561.7
"2020-04-24" 4176296.2 3476992.9
"2020-04-25" 4052840.8 3386735.7
"2020-04-26" 3939443.1 3342073.7
"2020-04-27" 4256906.3 3575887.5
"2020-04-28" 4286810.3 3672273.6
"2020-04-29" 4359342.2 3608319
"2020-04-30" 4354170.1 3498656
"2020-05-01" 4031262 3286921.5
"2020-05-02" 3889136.1 3485697
"2020-05-03" 3785489.2 3144430.9
"2020-05-04" 4111501.1 3392095.4
"2020-05-05" 4063248.2 3366291.2
"2020-05-06" 4025898.6 3386396.6
"2020-05-07" 3874190.3 3374709.2
"2020-05-08" 4067759.2 3430939.6
"2020-05-09" 3820478.3 3331899.7
"2020-05-10" 3740338.3 3369590.8
"2020-05-11" 4138264 3260063.9
"2020-05-12" 4175388.3 3259943.1
"2020-05-13" 4118029.9 3200753.9
"2020-05-14" 4081379.8 3288314.6
"2020-05-15" 4139407.5 3323493.7
"2020-05-16" 3982503.8 3022250.9
"2020-05-17" 3863540 2978427.9
"2020-05-18" 4121721.4 3260386.8
"2020-05-19" 4161556.3 3190829.1
"2020-05-20" 4035974.3 3214036.3
"2020-05-21" 3816143.9 3141372.7
"2020-05-22" 3795167.1 3160362.5
"2020-05-23" 3551819.6 3126876.3
"2020-05-24" 3418924.6 2959888
"2020-05-25" 3646097.1 2908653.1
"2020-05-26" 3583679.8 2744160.7
"2020-05-27" 3599125.9 2805946.7
"2020-05-28" 3655408.5 2880566.8
"2020-05-29" 3688212 2724976.9
"2020-05-30" 3372530 2603245.6
"2020-05-31" 3225206.1 2506615
"2020-06-01" 3555745.9 2642787.1
"2020-06-02" 3584648.2 2763791.8
"2020-06-03" 3622842.2 2623072.1
"2020-06-04" 3600932.4 2797610.3
"2020-06-05" 3677699.2 2662161.8
"2020-06-06" 3435247.7 2789733.2
"2020-06-07" 3240421.7 3097158.7
"2020-06-08" 3643604.5 2958707.8
"2020-06-09" 3667536 2872103.7
"2020-06-10" 3670325.7 2995769.3
"2020-06-11" 3688187.6 3027701.2
"2020-06-12" 3698648.3 3045776.1
"2020-06-13" 3440130.9 2801663.9
"2020-06-14" 3362714.1 2861291.4
"2020-06-15" 3604755.3 2998547.1
"2020-06-16" 3564144 2989076.7
"2020-06-17" 3579205.3 3063194.3
"2020-06-18" 3440251.1 3041311.8
"2020-06-19" 3066448.1 2806236
"2020-06-20" 2961330.5 2672242.6
"2020-06-21" 2994953.3 2560578.2
"2020-06-22" 3398023.1 2972308.9
"2020-06-23" 3580612.2 3012499.6
"2020-06-24" 3770369.5 3069035.9
"2020-06-25" 3922215.2 3274730.2
"2020-06-26" 3985420.2 3349252.1
"2020-06-27" 3710874.4 3060095.6
"2020-06-28" 3605386.6 2810326.7
"2020-06-29" 3605332.6 2829819.2
"2020-06-30" 3986093.9 2916087.6
"2020-07-01" 3933860.3 3023268.8
"2020-07-02" 3736426.8 2998298.5
"2020-07-03" 3633703.3 3024992.7
"2020-07-04" 3433082 2732702.6
"2020-07-05" 3338733.1 2684893.4
"2020-07-06" 3615326.6 3027454.7
"2020-07-07" 3634888.2 2941114.7
"2020-07-08" 3637411.4 2928785
"2020-07-09" 3730405.2 2931197.7
"2020-07-10" 3682017.7 2933804.3
"2020-07-11" 3520985.9 2767366.1
"2020-07-12" 3384142 2713610.2
"2020-07-13" 3681065.5 2926823
"2020-07-14" 3707087.7 3004299.6
"2020-07-15" 3723856.6 3019599.9
"2020-07-16" 3685455.5 2989818.2
"2020-07-17" 3677295.4 2955073.3
"2020-07-18" 3446486.9 2865022.6
"2020-07-19" 3330532.5 2671822
"2020-07-20" 3581022.6 2846070.8
"2020-07-21" 3547760.7 2741999.1
"2020-07-22" 3541324.8 2783158.3
"2020-07-23" 3610674.4 2944170.9
"2020-07-24" 3642373.9 2940853.3
"2020-07-25" 3525450.9 2860332.1
"2020-07-26" 3385674.3 2663816.1
"2020-07-27" 3668754.7 2941537.2
"2020-07-28" 3728951.2 2879574.9
"2020-07-29" 3739853.6 2963665.6
"2020-07-30" 3635550.1 3012614.9
"2020-07-31" 3681282.7 2930171.6
"2020-08-01" 3474014.6 2643612.4
"2020-08-02" 3414957.3 2468715.4
"2020-08-03" 3658708.3 2589970.1
"2020-08-04" 3677318.4 2655509.9
"2020-08-05" 3760232.3 2785765.5
"2020-08-06" 3853826.9 2764381.8
"2020-08-07" 3861678.2 2726270.1
"2020-08-08" 3575607.6 2483604.6
"2020-08-09" 3541936.9 2512319.5
"2020-08-10" 3862077.9 2911400.7
"2020-08-11" 3833287.7 2730949.5
"2020-08-12" 3855033 2679582.2
"2020-08-13" 3812034.9 2732240.5
"2020-08-14" 3847416.2 2873698.2
"2020-08-15" 3518834.7 2545660.7
"2020-08-16" 3409168.3 2599917.9
"2020-08-17" 3763921.3 2857311.1
"2020-08-18" 3751267.7 2840451
"2020-08-19" 3745631.8 2876423
"2020-08-20" 3730367 2955435.2
"2020-08-21" 3795999.9 2854777.9
"2020-08-22" 3562888.8 2835141.7
"2020-08-23" 3415390.5 2682766.1
"2020-08-24" 3739777.8 2869779
"2020-08-25" 3798735.8 2901692.6
"2020-08-26" 3815303.1 2757930
"2020-08-27" 3918732.3 2837753.5
"2020-08-28" 3911912.9 2785886.9
"2020-08-29" 3645051.9 2333743.1
"2020-08-30" 3527933.7 2238631.4
"2020-08-31" 3822867.5 2844279.1
"2020-09-01" 3855059.9 2915848.8
"2020-09-02" 3907997 3003747.4
"2020-09-03" 3897380.6 2976079.3
"2020-09-04" 3853717.1 2946063.1
"2020-09-05" 3518293 2738108.3
"2020-09-06" 3471969.1 2712260.6
"2020-09-07" 3893509.3 2899002.6
