Nimi	Synt.aika (v-kk-p)	Kotikunta	VP	Ääniä	Kansanedustajana	Ryhmä	Toiminta eduskunnassa tai hallituksessa
Tuomioja Erkki	1946-07-01	Helsinki	HEL	9 970(1/4)	1970–1979, 1991–	sd	ulkoministeri
Tuppurainen Tytti	1976-02-18	Oulu	OUL	5 313(1/2)	2011–	sd	
Turunen Kaj	1960-12-27	Savonlinna	ETS	2 631(1/1)	2011–	ps	
Tuupainen Kauko	1940-05-28	Jyväskylä	KES	4 977(1/2)	2011–	ps	
Tynkkynen Oras	1977-09-25	Tampere	PIR	7 406(1/1)	2004–	vihr	
Tölli Tapani	1951-06-13	Tyrnävä	OUL	9 777(1/6)	2003–	kesk	
Uotila Kari	1955-01-04	Espoo	UUS	3 468(1/1)	1995–2007, 2008–	vas	
Urpalainen Anu	1966-09-27	Imatra	KYM	3 322	2012–	kok	
Urpilainen Jutta	1975-08-04	Kokkola	VAA	11 670(1/2)	2003–	sd	valtiovarainministeri
Vahasalo Raija	1961-03-10	Kirkkonummi	UUS	4 206(7/11)	1999–	kok	sivistysvaliokunnan puheenjohtaja
Vapaavuori Jan	1965-04-03	Helsinki	HEL	11 203(2/6)	2003–	kok	eduskuntaryhmän puheenjohtaja
Vehkaperä Mirja	1976-04-06	Haukipudas	OUL	6 852(3/6)	2007–	kesk	
Vehviläinen Anu	1963-09-09	Joensuu	POK	6 296(1/2)	1995–2003, 2007–	kesk	
Viitamies Pauliina	1969-03-11	Mikkeli	ETS	4 470(2/2)	2007–	sd	
Viitanen Pia	1967-04-07	Tampere	PIR	7 730(3/4)	1995–	sd	
Vikman Sofia	1983-05-12	Tampere	PIR	8 279(1/5)	2011–	kok	
Virkkunen Henna	1972-06-04	Jyväskylä	KES	7 127(1/2)	2007–2014	kok	hallinto- ja kuntaministeri
Virolainen Anne-Mari	1965-12-05	Lieto	VAR	10 041(2/4)	2007–	kok	
Virtanen Erkki	1952-08-15	Kuopio	POS	3 179(1/1)	2003–	vas	
Virtanen Pertti ("Veltto")	1951-05-18	Tampere	PIR	6 526(3/4)	1995–1999, 2007–	ps	
Vähämäki Ville	1979-03-30	Oulu	OUL	5 534(2/4)	2011–	ps	
Väätäinen Juha	1941-07-12	Helsinki	HEL	2 914(3/3)	2011–	ps	
Väätäinen Tuula	1955-10-02	Siilinjärvi	POS	4 244(2/2)	2003–	sd	
Wallin Harry	1953-05-23	Seinäjoki	VAA	6 347	1999–2007, 2014–	sd	
Wallin Stefan	1967-06-01	Turku	VAR	12 366(1/1)	2007–	r	
Wallinheimo Sinuhe	1972-03-09	Jyväskylä	KES	4 228(2/2)	2011–	kok	
Wideroos Ulla-Maj	1951-10-22	Närpiö	VAA	6 077(2/4)	1995–	r	eduskuntaryhmän 1. varapuheenjohtaja
Yrttiaho Jyrki	1952-05-04	Raisio	VAR	4 634(2/2[5])	2007–	vr[5]	
Zyskowicz Ben	1954-05-24	Helsinki	HEL	13 407(1/6)	1979–	kok	
Östman Peter	1961-12-16	Pedersören kunta	VAA	5 349(1/1)	2011–	kd	eduskuntaryhmän puheenjohtaja
