Nimi	Tyhjä	Puolue	Vaalipiiri	Vertausluku	Äänet	Kansanedustajana	Toiminta eduskunnassa tai hallituksessa
Aino-Kaisa Pekonen		Vasemmistoliitto	Häme	12 182,000	5 487	2011–	
Jaana Pelkonen		Kokoomus	Helsinki	93 392,000	15 964	2011–	
Arto Pirttilahti		Keskusta	Pirkanmaa	23 094,500	6 629	2011–	
Tuomo Puumala		Keskusta	Vaasa	33 666,500	7 762	2007–	
Juha Pylväs		Keskusta	Oulu	26 645,250	5 861	2015–	
Sari Raassina		Kokoomus	Savo-Karjala	12 490,000	3 978	2015–	
Mika Raatikainen		Perussuomalaiset	Helsinki	13 527,667	3 370	2014–	
Antti Rantakangas		Keskusta	Oulu	35 527,000	5 960	1999–	
Nasima Razmyar		Sosiaalidemokraatit	Helsinki	13 968,500	5 156	2015–2017	Siirtyi Helsingin apulaispormestariksi.
Olli Rehn		Keskusta	Helsinki	25 947,000	6 837	1991–1995, 2015–2017	elinkeinoministeri (29.5.2015–29.12.2016). Siirtyi Suomen Pankin johtokuntaan.
Juha Rehula		Keskusta	Häme	36 020,000	6 429	1996–	perhe- ja perusturvaministeri
Antti Rinne		Sosiaalidemokraatit	Uusimaa	86 462,000	12 147	2015–	
Paula Risikko		Kokoomus	Vaasa	29 195,000	9 812	2003–	puhemies (5.2.2018 alkaen), sisäministeri (22.6.2016 alkaen), 2. varapuhemies (29.5.2015–22.6.2016)
Jari Ronkainen		Perussuomalaiset	Häme	13 179,000	4 442	2015–	
Markku Rossi		Keskusta	Savo-Karjala	11 762,167	4 482	1991–1995, 1999, 2000–	
Veera Ruoho		Kokoomus	Uusimaa	13 344,429	2 563	2015–	
Pirkko Ruohonen-Lerner		Perussuomalaiset	Uusimaa	23 352,750	3 301	2007–2015	Siirtyi europarlamenttiin europarlamentaarikko Sampo Terhon (ps.) tultua valituksi eduskuntaan ja otettua vastaan kansanedustajan tehtävän.
Wille Rydman		Kokoomus	Helsinki	18 678,400	4 524	2015–	
Joona Räsänen		Sosiaalidemokraatit	Uusimaa	14 410,333	5 024	2015–	
Päivi Räsänen		Kristillisdemokraatit	Häme	12 412,000	7 545	1995–	
Vesa-Matti Saarakkala		Siniset	Vaasa	38 964,000	8 529	2011–	
Annika Saarikko		Keskusta	Varsinais-Suomi	42 763,000	10 510	2011–	
Pertti Salolainen		Kokoomus	Helsinki	15 565,333	4 502	1970–1996, 2007–	
Kristiina Salonen		Sosiaalidemokraatit	Satakunta	27 631,000	9 560	2011–	
Hanna Sarkkinen		Vasemmistoliitto	Oulu	29 580,000	9 582	2015–	
Sari Sarkomaa		Kokoomus	Helsinki	23 348,000	7 052	1999–	
Arto Satonen		Kokoomus	Pirkanmaa	13 662,000	5 339	2003–	2. varapuhemies (22.6.2016–5.2.2018)
Sami Savio		Perussuomalaiset	Pirkanmaa	24 775,500	5 270	2015–	
Mikko Savola		Keskusta	Vaasa	67 333,000	8 476	2011–	
Matti Semi		Vasemmistoliitto	Savo-Karjala	12 750,000	2 140	2015–	
Juha Sipilä		Keskusta	Oulu	106 581,000	30 758	2011–	pääministeri
Saara-Sofia Sirén		Kokoomus	Varsinais-Suomi	13 693,200	4 625	2015–	
Ville Skinnari		Sosiaalidemokraatit	Häme	14 912,333	5 711	2015–	
Timo Soini		Siniset	Uusimaa	93 411,000	29 527	2003–2009, 2011–	ulkoasiain- ja eurooppaministeri
Joakim Strand		RKP	Vaasa	25 388,500	10 374	2015–	
Alexander Stubb		Kokoomus	Uusimaa	124 754,000	27 129	2011–2017	valtiovarainministeri (29.5.2015–22.6.2016). Siirtyi Euroopan investointipankin varapääjohtajaksi
Eero Suutari		Kokoomus	Oulu	13 544,500	3 303	2011–	
Satu Taavitsainen		Sosiaalidemokraatit	Kaakkois-Suomi	13 651,000	5 416	2015–	
Katja Taimela		Sosiaalidemokraatit	Varsinais-Suomi	20 417,500	6 017	2007–	
Martti Talja		Keskusta	Häme	12 006,667	3 941	2015–	
Mari-Leena Talvitie		Kokoomus	Oulu	27 089,000	4 556	2015–	
Sari Tanus		Kristillisdemokraatit	Pirkanmaa	13 553,000	2 592	2015–	
Ville Tavio		Perussuomalaiset	Varsinais-Suomi	25 406,500	6 847	2015–	
Sampo Terho		Siniset	Helsinki	40 583,000	10 067	2015–	kulttuuri- ja urheiluministeri (5.5.2017 alkaen)
Kimmo Tiilikainen		Keskusta	Kaakkois-Suomi	30 897,000	9 193	2003–	ympäristöministeri (5.5.2017 alkaen), maatalous- ja ympäristöministeri (29.5.2015–5.5.2017)
Lenita Toivakka		Kokoomus	Kaakkois-Suomi	19 473,500	5 028	2007–	ulkomaankauppa- ja kehitysministeri (29.5.2015–22.6.2016)
Jani Toivola		Vihreät	Uusimaa	52 034,000	6 557	2011–	
Maria Tolppanen		Sosiaalidemokraatit	Vaasa	12 988,000	5 476	2011–	
Kari Tolvanen		Kokoomus	Uusimaa	24 950,800	6 531	2011–	
Ari Torniainen		Keskusta	Kaakkois-Suomi	12 358,800	5 412	2011–	
Erkki Tuomioja		Sosiaalidemokraatit	Helsinki	55 874,000	11 154	1970–1979, 1991–	
Tytti Tuppurainen		Sosiaalidemokraatit	Oulu	22 433,000	7 661	2011–	
Kaj Turunen		Kokoomus	Kaakkois-Suomi	17 235,667	6 929	2011–	
Tapani Tölli		Keskusta	Oulu	53 290,500	9 369	2003–	
Kari Uotila		Vasemmistoliitto	Uusimaa	22 698,000	3 152	1995–2007, 2008–	
Jutta Urpilainen		Sosiaalidemokraatit	Vaasa	29 024,000	11 627	2003–	
Matti Vanhanen		Keskusta	Uusimaa	59 749,000	11 304	1991–2010, 2015–	
Juhana Vartiainen		Kokoomus	Helsinki	31 130,667	11 436	2015–	
Antero Vartia		Vihreät	Helsinki	22 602,000	6 859	2015–	
Mirja Vehkaperä		Keskusta	Oulu	17 763,500	5 420	2007–2018	Siirtyi europarlamenttiin.
Anu Vehviläinen		Keskusta	Savo-Karjala	35 286,500	8 924	1995–2003, 2007–	kunta- ja uudistusministeri
Pia Viitanen		Sosiaalidemokraatit	Pirkanmaa	27 110,000	8 472	1995–	
Sofia Vikman		Kokoomus	Pirkanmaa	54 648,000	9 473	2011–	
Eerikki Viljanen		Keskusta	Uusimaa	14 937,250	2 902	2015–	
Anne-Mari Virolainen		Kokoomus	Varsinais-Suomi	17 116,500	7 169	2007–	
Ville Vähämäki		Perussuomalaiset	Oulu	13 476,333	3 798	2011–	
Paavo Väyrynen		Tähtiliike	Lappi	21 646,500	6 889	1970–1995, 1999, 2007–2011, 2015, 2018–	
Harry Wallin		Sosiaalidemokraatit	Vaasa	14 512,000	4 608	1999–2007, 2014–	
Stefan Wallin		RKP	Varsinais-Suomi	34 233,000	9 787	2007–	
Sinuhe Wallinheimo		Kokoomus	Keski-Suomi	19 776,000	5 483	2011–	
Ozan Yanar		Vihreät	Helsinki	13 561,200	4 196	2015–	
Ben Zyskowicz		Kokoomus	Helsinki	46 696,000	15 395	1979–	
Peter Östman		Kristillisdemokraatit	Vaasa	14 076,000	6 577	2011–	
